Wavelength,Order,slit_index,slit_position,detector_x,detector_y
1878.8146000000002,10,0,-5.74545,234.0,403.0
1878.8146000000002,10,1,-4.30909,233.125,407.0
1878.8146000000002,10,2,-2.87273,232.25,411.0
1878.8146000000002,10,3,-1.43636,231.375,415.0
1878.8146000000002,10,4,0.0,230.5,419.0
1878.8146000000002,10,5,1.43636,229.625,423.0
1878.8146000000002,10,6,2.87273,228.75,427.0
1878.8146000000002,10,7,4.30909,227.875,431.0
1878.8146000000002,10,8,5.74545,227.0,435.0
2019.271,10,0,-5.74545,1872.0,501.0
2019.271,10,1,-4.30909,1870.75,504.875
2019.271,10,2,-2.87273,1869.5,508.75
2019.271,10,3,-1.43636,1868.25,512.625
2019.271,10,4,0.0,1867.0,516.5
2019.271,10,5,1.43636,1865.75,520.375
2019.271,10,6,2.87273,1864.5,524.25
2019.271,10,7,4.30909,1863.25,528.125
2019.271,10,8,5.74545,1862.0,532.0
2026.777,10,0,-5.74545,1969.0,522.0
2026.777,10,1,-4.30909,1967.75,526.0
2026.777,10,2,-2.87273,1966.5,530.0
2026.777,10,3,-1.43636,1965.25,534.0
2026.777,10,4,0.0,1964.0,538.0
2026.777,10,5,1.43636,1962.75,542.0
2026.777,10,6,2.87273,1961.5,546.0
2026.777,10,7,4.30909,1960.25,550.0
2026.777,10,8,5.74545,1959.0,554.0
2028.797,10,0,-5.74545,1996.0,528.0
2028.797,10,1,-4.30909,1994.75,532.0
2028.797,10,2,-2.87273,1993.5,536.0
2028.797,10,3,-1.43636,1992.25,540.0
2028.797,10,4,0.0,1991.0,544.0
2028.797,10,5,1.43636,1989.75,548.0
2028.797,10,6,2.87273,1988.5,552.0
2028.797,10,7,4.30909,1987.25,556.0
2028.797,10,8,5.74545,1986.0,560.0
1714.06,11,0,-5.74545,303.0,445.0
1714.06,11,1,-4.30909,302.125,449.25
1714.06,11,2,-2.87273,301.25,453.5
1714.06,11,3,-1.43636,300.375,457.75
1714.06,11,4,0.0,299.5,462.0
1714.06,11,5,1.43636,298.625,466.25
1714.06,11,6,2.87273,297.75,470.5
1714.06,11,7,4.30909,296.875,474.75
1714.06,11,8,5.74545,296.0,479.0
1732.5790000000002,11,0,-5.74545,528.0,431.0
1732.5790000000002,11,1,-4.30909,527.125,435.0
1732.5790000000002,11,2,-2.87273,526.25,439.0
1732.5790000000002,11,3,-1.43636,525.375,443.0
1732.5790000000002,11,4,0.0,524.5,447.0
1732.5790000000002,11,5,1.43636,523.625,451.0
1732.5790000000002,11,6,2.87273,522.75,455.0
1732.5790000000002,11,7,4.30909,521.875,459.0
1732.5790000000002,11,8,5.74545,521.0,463.0
1736.511,11,0,-5.74545,577.0,428.0
1736.511,11,1,-4.30909,576.0,432.125
1736.511,11,2,-2.87273,575.0,436.25
1736.511,11,3,-1.43636,574.0,440.375
1736.511,11,4,0.0,573.0,444.5
1736.511,11,5,1.43636,572.0,448.625
1736.511,11,6,2.87273,571.0,452.75
1736.511,11,7,4.30909,570.0,456.875
1736.511,11,8,5.74545,569.0,461.0
1748.297,11,0,-5.74545,723.0,425.0
1748.297,11,1,-4.30909,722.0,429.125
1748.297,11,2,-2.87273,721.0,433.25
1748.297,11,3,-1.43636,720.0,437.375
1748.297,11,4,0.0,719.0,441.5
